Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CTSH,CTSH,CTSH,CTSH,CTSH,CTSH
Date,,,,,,
2000-01-03,1.8017833232879639,2.0,2.3125,1.7291669845581055,2.296875,3955200
2000-01-04,1.7407857179641724,1.9322919845581055,2.0442709922790527,1.8567709922790527,1.9596350193023682,2971200
2000-01-05,1.83697509765625,2.039062976837158,2.039062976837158,1.6875,1.8671879768371582,2836800
2000-01-06,1.7431321144104004,1.9348959922790527,2.0416669845581055,1.9348959922790527,2.03125,1147200
2000-01-07,1.7642457485198975,1.9583330154418945,1.9583330154418945,1.7916669845581055,1.9192709922790527,1324800
2000-01-10,1.798264503479004,1.996093988418579,2.2213540077209473,1.9791669845581055,2.0625,2788800
2000-01-11,1.7794952392578125,1.9752600193023682,2.0989580154418945,1.953125,2.0,2064000
2000-01-12,1.7032482624053955,1.890625,1.9765629768371582,1.8372399806976318,1.9674479961395264,691200
2000-01-13,1.7642457485198975,1.9583330154418945,1.9583330154418945,1.8828129768371582,1.9036459922790527,907200
2000-01-14,1.7126325368881226,1.9010419845581055,2.071614980697632,1.875,2.0416669845581055,1396800
2000-01-18,1.5272932052612305,1.6953129768371582,1.96875,1.6666669845581055,1.8854169845581055,2304000
2000-01-19,1.6492881774902344,1.8307290077209473,1.890625,1.6848959922790527,1.6953129768371582,1411200
2000-01-20,1.5941557884216309,1.769531011581421,1.9583330154418945,1.7447919845581055,1.875,2294400
2000-01-21,1.5390229225158691,1.7083330154418945,1.7838540077209473,1.6588540077209473,1.7486979961395264,2030400
2000-01-24,1.646942377090454,1.828125,1.875,1.6822919845581055,1.6822919845581055,2832000
2000-01-25,1.684479832649231,1.8697919845581055,1.875,1.7890629768371582,1.832031011581421,916800
2000-01-26,1.7079401016235352,1.8958330154418945,2.1197919845581055,1.8684899806976318,1.875,2577600
2000-01-27,1.7079401016235352,1.8958330154418945,2.0260419845581055,1.8958330154418945,1.9466149806976318,912000
2000-01-28,1.6821341514587402,1.8671879768371582,1.96875,1.8567709922790527,1.96875,297600
2000-01-31,1.4123352766036987,1.5677080154418945,1.9375,1.5208330154418945,1.8268229961395264,5491200
2000-02-01,1.6516342163085938,1.8333330154418945,1.875,1.5833330154418945,1.6536459922790527,3057600
2000-02-02,1.726709008216858,1.9166669845581055,1.9583330154418945,1.84375,1.8958330154418945,1252800
2000-02-03,1.750169277191162,1.9427080154418945,1.9791669845581055,1.84375,1.9244790077209473,1987200
2000-02-04,1.8158595561981201,2.015625,2.0364580154418945,1.9401040077209473,2.0364580154418945,1099200
2000-02-07,2.038736343383789,2.2630209922790527,2.2708330154418945,2.0130209922790527,2.0130209922790527,5011200
2000-02-08,2.3202648162841797,2.5755209922790527,2.679687976837158,2.3385419845581055,2.462239980697632,10214400
2000-02-09,2.2956314086914062,2.5481770038604736,2.625,2.4166669845581055,2.625,3787200
2000-02-10,2.322611093521118,2.578125,2.597656011581421,2.417968988418579,2.5208330154418945,2452800
2000-02-11,2.4399139881134033,2.7083330154418945,2.7447919845581055,2.4739580154418945,2.5794270038604736,9974400
2000-02-14,2.423491954803467,2.6901040077209473,2.8098959922790527,2.5833330154418945,2.8072919845581055,5020800
2000-02-15,2.3953397274017334,2.6588540077209473,2.7291669845581055,2.5833330154418945,2.7291669845581055,1272000
2000-02-16,2.327303171157837,2.5833330154418945,2.6666669845581055,2.5833330154418945,2.640625,1708800
2000-02-17,2.3061890602111816,2.5598959922790527,2.65625,2.5,2.6041669845581055,5707200
2000-02-18,2.170116662979126,2.4088540077209473,2.5598959922790527,2.4075520038604736,2.5598959922790527,2476800
2000-02-22,2.1595582962036133,2.397135019302368,2.4401040077209473,2.3125,2.40625,2496000
2000-02-23,2.138444662094116,2.3736979961395264,2.4036459922790527,2.371093988418579,2.3958330154418945,2913600
2000-02-24,2.0457746982574463,2.2708330154418945,2.390625,2.2708330154418945,2.375,2630400
2000-02-25,2.120849609375,2.3541669845581055,2.3919270038604736,2.28125,2.2916669845581055,2505600
